"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "MS SQL", "YAML", "Markdown", "comment", "blank", "total"
"/home/tach/tach/nextjs/magreth/components/flights/select-seats.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 6, 124
"/home/tach/tach/nextjs/magreth/components/flights/verify-payment.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/tach/tach/nextjs/magreth/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 15, 142
"/home/tach/tach/nextjs/magreth/components/ui/button.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/home/tach/tach/nextjs/magreth/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"/home/tach/tach/nextjs/magreth/components/ui/input.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/home/tach/tach/nextjs/magreth/components/ui/label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/home/tach/tach/nextjs/magreth/components/ui/sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 16, 141
"/home/tach/tach/nextjs/magreth/components/ui/textarea.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/tach/tach/nextjs/magreth/db/migrate.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/home/tach/tach/nextjs/magreth/db/queries.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 143
"/home/tach/tach/nextjs/magreth/db/schema.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"/home/tach/tach/nextjs/magreth/drizzle.config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/tach/tach/nextjs/magreth/lib/drizzle/0000_absurd_joshua_kane.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 1, 33
"/home/tach/tach/nextjs/magreth/lib/drizzle/meta/0000_snapshot.json", "JSON", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 150
"/home/tach/tach/nextjs/magreth/lib/drizzle/meta/_journal.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"/home/tach/tach/nextjs/magreth/lib/utils.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44
"/home/tach/tach/nextjs/magreth/middleware.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/tach/tach/nextjs/magreth/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/home/tach/tach/nextjs/magreth/next.config.mjs", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"/home/tach/tach/nextjs/magreth/package.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"/home/tach/tach/nextjs/magreth/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 5775, 0, 0, 1434, 7209
"/home/tach/tach/nextjs/magreth/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"/home/tach/tach/nextjs/magreth/tailwind.config.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"/home/tach/tach/nextjs/magreth/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 985, 3334, 110, 13, 27, 289, 28, 5775, 46, 32, 1964, 12603
